Analysis: Scenario 1
Length Units,centimeter
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
119, -25.4349, -12.7108, -28.8738, 27.2801, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
120, -25.4349, -12.7065, -29.0965, 27.5029, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
121, -25.4349, -12.7023, -29.3193, 27.7256, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
122, -25.4349, -12.7023, -29.5934, 27.9997, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
123, -25.4349, -12.7023, -29.8675, 28.2739, 0, 0, 0, 0, 0, 0, 0, 0.00120473, 0.0001817, 0, 0, 0, 0, 0, 0, 1.01325e+06, 1.01325e+06, 0, 0
124, -25.4349, -12.7023, -30.1417, 28.548, 0, 0, 0, 0, 0, 0, 0, 0.305276, 0.000129021, 0, 0, 0, 0, 0, 0, 719484, 719484, 0, 0
125, -25.4349, -12.7023, -30.4158, 28.8221, 0, 0, 0, 0, -697.987, 0, 0, 0.64269, 7.05649e-05, 3.80138e-10, -2.18673e-08, -5.95188e-08, 6.86306e-08, 6.4382e-10, 0, 392807, 392807, 0, 0
126, -25.4349, -12.7023, -30.6899, 29.0963, 0.000137771, 2.1766e-05, 2.90463e-05, -0.000116303, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.44897e-08, -6.27264e-08, 1.7989e-08, 7.9171e-08, 0, 0, 1.01145e+06, 1.01145e+06, 0, 4.15829e-09
127, -25.4349, -12.7023, -30.964, 29.3704, 0.000387607, -4.7197e-06, 0.000125797, -0.000357842, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.98383e-08, -3.75006e-08, 5.91476e-09, 7.67755e-08, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.1699e-08
128, -25.4349, -12.7023, -31.2382, 29.6445, 0.000774918, -9.19905e-05, 0.000193789, -0.000737804, -1797.27, 0, 0, 0.00120473, 0.0001817, 6.02617e-08, -3.48163e-09, -2.58666e-08, 7.16384e-08, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.3389e-08
129, -25.4349, -12.7023, -31.5123, 29.9186, 0.00114411, -0.000171447, 0.000253771, -0.00109561, -1797.27, 0, 0, 0.00120473, 0.0001817, 6.93147e-08, 2.44e-08, -6.50206e-08, 1.03744e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.45323e-08
130, -25.4349, -12.7023, -31.7864, 30.1928, 0.00146443, -0.000180454, 0.000242005, -0.00142784, -1797.27, 0, 0, 0.00120473, 0.0001817, 6.54005e-08, 4.72627e-08, -9.92562e-08, 1.31423e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 4.42003e-08
131, -25.4349, -12.7023, -32.0606, 30.4669, 0.00177698, -0.000170681, 0.000221064, -0.00175351, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.77565e-08, 7.05624e-08, -1.28068e-07, 1.59081e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 5.3634e-08
132, -25.4349, -12.7023, -32.3347, 30.741, 0.00205743, -0.000145572, 0.000205511, -0.00203527, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.73479e-08, 1.01021e-07, -1.64479e-07, 2.06337e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 6.20985e-08
133, -25.4349, -12.7023, -32.6088, 31.0152, 0.0022763, -8.98819e-05, 0.000147187, -0.00225977, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.28332e-08, 1.19776e-07, -2.04401e-07, 2.59658e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 6.87046e-08
134, -25.4349, -12.7023, -32.8829, 31.2893, 0.0024953, -3.29331e-05, 7.40572e-05, -0.00248827, -1797.27, 0, 0, 0.00120473, 0.0001817, 1.65977e-08, 1.29535e-07, -2.43889e-07, 3.1104e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 7.53147e-08
135, -25.4349, -12.7023, -33.1571, 31.5634, 0.00281365, 1.67001e-05, -6.11172e-06, -0.00281124, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.81243e-09, 1.32734e-07, -2.11642e-07, 2.59996e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 8.49232e-08
136, -25.4349, -12.7023, -33.4312, 31.8375, 0.00297299, 3.82238e-05, -5.00347e-05, -0.00297205, -1797.27, 0, 0, 0.00120473, 0.0001817, -4.11151e-09, 1.39591e-07, -2.03669e-07, 2.50941e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 8.97326e-08
137, -25.4349, -12.7023, -33.7053, 32.1117, 0.00311047, 8.56156e-05, -0.000102435, -0.00310702, -1797.27, 0, 0, 0.00120473, 0.0001817, -1.62448e-08, 1.47104e-07, -2.03993e-07, 2.56699e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 9.3882e-08
138, -25.4349, -12.7023, -33.9795, 32.3858, 0.0032264, 0.000123259, -0.000147182, -0.00322063, -1797.27, 0, 0, 0.00120473, 0.0001817, -2.81211e-08, 1.60432e-07, -2.06426e-07, 2.66437e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 9.73811e-08
139, -25.4349, -12.7023, -34.2536, 32.6599, 0.00328822, 0.000127839, -0.000170019, -0.00328115, -1797.27, 0, 0, 0.00120473, 0.0001817, -3.33472e-08, 1.67575e-07, -2.08945e-07, 2.74136e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 9.9247e-08
140, -25.4349, -12.7023, -34.5277, 32.934, 0.00340105, 0.00013728, -0.000187642, -0.003393, -1797.27, 0, 0, 0.00120473, 0.0001817, -3.85438e-08, 1.71163e-07, -1.95211e-07, 2.642e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.02652e-07
141, -25.4349, -12.7023, -34.8018, 33.2082, 0.00350004, 0.000153751, -0.000207965, -0.00349036, -1797.27, 0, 0, 0.00120473, 0.0001817, -3.98594e-08, 1.62792e-07, -1.8601e-07, 2.57034e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.0564e-07
142, -25.4349, -12.7023, -34.9989, 33.4052, 0.00355344, 0.000165917, -0.000225344, -0.00354224, -1797.27, 0, 0, 0.00120473, 0.0001817, -4.03795e-08, 1.56849e-07, -1.85156e-07, 2.59286e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.07252e-07
143, -25.4349, -12.7023, -35.1959, 33.6022, 0.00356351, 0.000172254, -0.000247988, -0.00355032, -1797.27, 0, 0, 0.00120473, 0.0001817, -4.1409e-08, 1.61128e-07, -1.97266e-07, 2.79957e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.07556e-07
144, -25.4349, -12.7023, -35.3929, 33.7993, 0.00363865, 0.000177022, -0.000262506, -0.00362463, -1797.27, 0, 0, 0.00120473, 0.0001817, -4.34137e-08, 1.68017e-07, -1.94096e-07, 2.76499e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.09824e-07
145, -25.4349, -12.7023, -35.59, 33.9963, 0.00369136, 0.000181963, -0.000273279, -0.00367659, -1797.27, 0, 0, 0.00120473, 0.0001817, -4.70507e-08, 1.82864e-07, -2.02552e-07, 2.87656e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.11415e-07
146, -25.4349, -12.7023, -35.787, 34.1933, 0.00375561, 0.00018456, -0.000284297, -0.00374021, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.03485e-08, 1.96328e-07, -2.10448e-07, 2.97257e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.13354e-07
147, -25.4349, -12.7023, -35.984, 34.3904, 0.00379924, 0.000176538, -0.000291183, -0.00378382, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.20091e-08, 2.0479e-07, -2.26196e-07, 3.14322e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.14671e-07
148, -25.4349, -12.7023, -36.181, 34.5874, 0.00373724, 0.000163387, -0.000288687, -0.00372229, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.31314e-08, 2.17199e-07, -2.68254e-07, 3.64349e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.128e-07
149, -25.4349, -12.7023, -36.3781, 34.7844, 0.00367525, 0.000150235, -0.00028619, -0.00366076, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.42536e-08, 2.29608e-07, -3.10313e-07, 4.14375e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.10929e-07
150, -25.4349, -12.7023, -36.5751, 34.9814, 0.00378498, 0.000141242, -0.000302751, -0.00377005, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.73569e-08, 2.44953e-07, -3.39093e-07, 4.42569e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.1424e-07
151, -25.4349, -12.7023, -36.7721, 35.1785, 0.00372997, 0.000130628, -0.000316715, -0.003714, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.91894e-08, 2.58241e-07, -3.46031e-07, 4.58884e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.1258e-07
152, -25.4349, -12.7023, -36.9692, 35.3755, 0.00372531, 0.000121974, -0.000312638, -0.00371, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.02739e-08, 2.61935e-07, -3.51794e-07, 4.69931e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.1244e-07
153, -25.4349, -12.7023, -37.1662, 35.5725, 0.00382165, 0.000129003, -0.000312095, -0.00380661, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.24435e-08, 2.59249e-07, -3.4732e-07, 4.61323e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.15347e-07
154, -25.4349, -12.7023, -37.3632, 35.7696, 0.0038628, 0.000140165, -0.00031081, -0.00384765, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.368e-08, 2.61547e-07, -3.395e-07, 4.53372e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.16589e-07
155, -25.4349, -12.7023, -37.5602, 35.9666, 0.00381672, 0.000144404, -0.000315766, -0.00380064, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.50785e-08, 2.66585e-07, -3.40076e-07, 4.59575e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.15198e-07
156, -25.4349, -12.7023, -37.7573, 36.1636, 0.00379426, 0.000147604, -0.000327399, -0.00377683, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.62794e-08, 2.72793e-07, -3.50929e-07, 4.74192e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.14521e-07
157, -25.4349, -12.7023, -37.9543, 36.3606, 0.00383719, 0.000154415, -0.000340144, -0.0038186, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.68726e-08, 2.797e-07, -3.65424e-07, 4.88175e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.15816e-07
158, -25.4349, -12.7023, -38.1513, 36.5577, 0.00388012, 0.000161225, -0.000352889, -0.00386036, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.74657e-08, 2.86607e-07, -3.7992e-07, 5.02158e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.17112e-07
159, -25.4349, -12.7023, -38.3484, 36.7547, 0.00392306, 0.000168035, -0.000365633, -0.00390212, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.80588e-08, 2.93514e-07, -3.94416e-07, 5.16141e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.18408e-07
160, -25.4349, -12.7023, -38.5454, 36.9517, 0.00393294, 0.000182432, -0.000372586, -0.00391081, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.70764e-08, 2.98166e-07, -3.9415e-07, 5.20312e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.18706e-07
161, -25.4349, -12.7023, -38.7424, 37.1488, 0.00391623, 0.000190069, -0.0003562, -0.00389529, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.95812e-08, 3.10389e-07, -3.64235e-07, 5.04935e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.18202e-07
162, -25.4349, -12.7108, -38.9866, 37.3931, 0.00388565, 0.000163951, -0.000307748, -0.00386962, -1797.27, 0, 0, 0.00120473, 0.0001817, -4.18204e-08, 3.26624e-07, -3.20043e-07, 4.69715e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.17279e-07
163, -25.4349, -12.7194, -39.2307, 37.6374, 0.00380099, 0.000143771, -0.000263319, -0.00378889, -1797.27, 0, 0, 0.00120473, 0.0001817, -2.60807e-08, 3.34456e-07, -2.75396e-07, 4.35813e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.14724e-07
164, -25.4349, -12.728, -39.4749, 37.8816, 0.00377745, 0.000159205, -0.000221576, -0.00376721, -1797.27, 0, 0, 0.00120473, 0.0001817, -2.28416e-08, 3.31556e-07, -2.76159e-07, 4.46652e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.14013e-07
165, -25.4349, -12.7365, -39.719, 38.1259, 0.0037019, 0.000173555, -0.000175324, -0.00369322, -1797.27, 0, 0, 0.00120473, 0.0001817, -2.3008e-08, 3.3703e-07, -2.8743e-07, 4.85082e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.11733e-07
166, -25.4349, -12.7451, -39.9631, 38.3702, 0.00368487, 0.000174462, -0.000140571, -0.00367772, -1797.27, 0, 0, 0.00120473, 0.0001817, -2.23138e-08, 3.45759e-07, -2.86833e-07, 5.00868e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.11219e-07
167, -25.4349, -12.7537, -40.2073, 38.6145, 0.00395923, 0.000145001, -8.49567e-05, -0.00395452, -1797.27, 0, 0, 0.00120473, 0.0001817, -1.41957e-08, 3.58174e-07, -2.64442e-07, 4.708e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.195e-07
168, -25.4349, -12.7622, -40.4514, 38.8588, 0.00419263, 0.000119357, -3.28937e-05, -0.00419011, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.22875e-09, 3.70424e-07, -2.42043e-07, 4.45319e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.26545e-07
169, -25.4349, -12.7708, -40.6956, 39.1031, 0.00430445, 9.29731e-05, 4.77728e-06, -0.00430285, -1797.27, 0, 0, 0.00120473, 0.0001817, 2.81321e-09, 3.7996e-07, -2.35929e-07, 4.52179e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.29919e-07
170, -25.4349, -12.7794, -40.9397, 39.3474, 0.00449096, 5.91097e-05, 6.52886e-05, -0.00448911, -1797.27, 0, 0, 0.00120473, 0.0001817, 1.38783e-08, 3.77554e-07, -2.66509e-07, 4.68377e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.35549e-07
171, -25.4349, -12.7879, -41.1839, 39.5917, 0.00469376, 3.28964e-05, 9.72883e-05, -0.00469157, -1797.27, 0, 0, 0.00120473, 0.0001817, 2.27214e-08, 3.84864e-07, -2.97428e-07, 4.8997e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.4167e-07
172, -25.4349, -12.7965, -41.428, 39.836, 0.00508313, 5.46287e-06, 6.94365e-05, -0.0050818, -1797.27, 0, 0, 0.00120473, 0.0001817, 2.98762e-08, 4.04681e-07, -2.72584e-07, 4.94197e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.53422e-07
173, -25.4349, -12.8051, -41.6722, 40.0803, 0.00544913, -2.51193e-05, 3.99034e-05, -0.00544828, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.54566e-08, 4.27782e-07, -2.49132e-07, 5.08304e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.64469e-07
174, -25.4349, -12.8136, -41.9163, 40.3246, 0.0058597, -0.000146085, 1.97362e-05, -0.00585074, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.88202e-08, 4.37679e-07, -2.40083e-07, 5.15467e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.76861e-07
175, -25.4349, -12.8222, -42.1605, 40.5689, 0.00640976, -0.000310764, -2.16193e-05, -0.00639531, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.18357e-08, 4.3166e-07, -2.64946e-07, 5.1399e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 1.93463e-07
176, -25.4349, -12.8308, -42.4046, 40.8132, 0.00690464, -0.000474932, -6.18305e-05, -0.00688325, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.46997e-08, 4.231e-07, -2.99334e-07, 5.26614e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.084e-07
177, -25.4349, -12.8393, -42.6487, 41.0575, 0.00724847, -0.000639288, -9.05794e-05, -0.00721883, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.57459e-08, 4.18434e-07, -3.33279e-07, 5.47323e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.18778e-07
178, -25.4349, -12.8479, -42.8929, 41.3018, 0.00790377, -0.000772496, -5.38834e-05, -0.00786443, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.52503e-08, 4.10214e-07, -3.76635e-07, 5.70098e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.38556e-07
179, -25.4349, -12.8565, -43.137, 41.5461, 0.00858881, -0.000912532, -1.38683e-05, -0.00853849, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.27862e-08, 4.01008e-07, -4.193e-07, 5.9185e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.59233e-07
180, -25.4349, -12.865, -43.3812, 41.7904, 0.00915656, -0.00105027, 2.64529e-05, -0.00909384, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.04672e-08, 3.91568e-07, -4.6754e-07, 6.24709e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.76369e-07
181, -25.4349, -12.8736, -43.6253, 42.0347, 0.00969334, -0.00118536, 6.87957e-05, -0.00961794, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.7863e-08, 3.8163e-07, -5.17515e-07, 6.59254e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.9257e-07
182, -25.4349, -12.8822, -43.8866, 42.2961, 0.00994774, -0.000994579, 0.000172229, -0.00987781, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.73634e-08, 3.48549e-07, -6.04776e-07, 7.07763e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.00249e-07
183, -25.4349, -12.8907, -44.1479, 42.5575, 0.0100735, -0.000740211, 0.00030084, -0.0100119, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.22163e-08, 3.09228e-07, -6.92417e-07, 7.7529e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.04043e-07
184, -25.4349, -12.8993, -44.4092, 42.8189, 0.0101981, -0.00049128, 0.000426462, -0.0101451, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.70174e-08, 2.69378e-07, -7.7771e-07, 8.41905e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.07804e-07
185, -25.4349, -12.9079, -44.6704, 43.0803, 0.0103227, -0.000242353, 0.000552083, -0.0102784, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.18184e-08, 2.29529e-07, -8.63001e-07, 9.0852e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.11565e-07
186, -25.4349, -12.9164, -44.9317, 43.3418, 0.0104532, 8.14754e-05, 0.000680823, -0.0103813, -1797.27, 0, 0, 0.00120473, 0.0001817, 6.20611e-08, 1.92265e-07, -9.57285e-07, 9.85258e-07, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.15504e-07
187, -25.4349, -12.925, -45.193, 43.6032, 0.0100568, 0.00181655, 0.000903089, -0.00907095, -1797.27, 0, 0, 0.00120473, 0.0001817, 7.70585e-08, 1.40105e-07, -1.1957e-06, 1.22113e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.03541e-07
188, -25.4349, -12.9336, -45.4543, 43.8646, 0.00888538, 0.00308952, 0.00108743, -0.00715002, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.26478e-08, 5.42242e-08, -1.34327e-06, 1.35788e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.68184e-07
189, -25.4349, -12.9421, -45.7155, 44.126, 0.007594, 0.00406593, 0.00127099, -0.00539744, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.63369e-08, -3.38121e-08, -1.43608e-06, 1.44581e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.29207e-07
190, -25.4349, -12.9507, -45.9768, 44.3874, 0.0083337, 0.00614969, 0.00169435, -0.00258697, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.02135e-08, -9.36469e-08, -1.60346e-06, 1.61106e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 2.51533e-07
191, -25.4349, -12.9593, -46.2381, 44.6489, 0.00997206, 0.00869532, 0.00222388, 0.000652089, -1797.27, 0, 0, 0.00120473, 0.0001817, 2.63621e-08, -1.45535e-07, -1.79512e-06, 1.80185e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 3.00983e-07
192, -25.4349, -12.9678, -46.4994, 44.9103, 0.0134506, 0.0119018, 0.00213664, 0.00480598, -1797.27, 0, 0, 0.00120473, 0.0001817, 9.69434e-08, -2.36952e-08, -2.12295e-06, 2.18588e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 4.05975e-07
193, -25.4349, -12.9764, -46.7607, 45.1717, 0.0215376, 0.0167887, 0.00140187, 0.0122873, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.02529e-08, 7.30607e-08, -2.53603e-06, 2.61545e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 6.50062e-07
194, -25.4349, -12.985, -47.0219, 45.4331, 0.0296247, 0.0216755, 0.000667089, 0.0197687, -1797.27, 0, 0, 0.00120473, 0.0001817, -1.64363e-08, 1.6982e-07, -2.94911e-06, 3.04502e-06, 0, 0, 1.01145e+06, 1.01145e+06, 0, 8.94149e-07
195, -25.4349, -12.9935, -47.2832, 45.6945, 0.0406673, 0.0276583, -0.000923161, 0.0294583, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.44431e-07, 1.03338e-06, -4.71409e-06, 5.04874e-06, 0, 0, 1.01145e+06, 1.01145e+06, 5.10745e-11, 1.22745e-06
196, -25.4349, -13.0021, -47.5445, 45.9559, 0.0549695, 0.0347103, -0.00202979, 0.0422583, -1797.27, 0, 0, 0.00120473, 0.0001817, 4.78631e-07, 1.90852e-06, -6.89305e-06, 7.34629e-06, 0, 0, 1.01145e+06, 1.01145e+06, 1.45119e-10, 1.65912e-06
197, -25.4349, -13.0107, -47.8058, 46.2174, 0.0690666, 0.0415753, -0.004374, 0.0546835, -1797.27, 0, 0, 0.00120473, 0.0001817, 9.53115e-07, 3.18973e-06, -9.21578e-06, 1.00137e-05, 0, 0, 1.01145e+06, 1.01145e+06, 2.41992e-10, 2.08461e-06
198, -25.4349, -13.0192, -48.067, 46.4788, 0.082597, 0.0479759, -0.00802238, 0.0662709, -1797.27, 0, 0, 0.00120473, 0.0001817, 2.07624e-06, 5.13956e-06, -1.2658e-05, 1.41682e-05, 0, 0, 1.01145e+06, 1.01145e+06, 3.49274e-10, 2.49299e-06
199, -25.4349, -13.0278, -48.3283, 46.7402, 0.0968542, 0.0543626, -0.0116768, 0.078758, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.36251e-06, 7.32365e-06, -1.6806e-05, 1.89377e-05, 0, 0, 1.01145e+06, 1.01145e+06, 4.69511e-10, 2.92331e-06
200, -25.4349, -13.0364, -48.5896, 47.0016, 0.111963, 0.0591482, -0.0183328, 0.0929125, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.04448e-06, 1.05606e-05, -1.99315e-05, 2.31571e-05, 0, 0, 1.01145e+06, 1.01145e+06, 6.29122e-10, 3.37933e-06
201, -25.4349, -13.0449, -48.8509, 47.263, 0.123233, 0.0612903, -0.0228632, 0.10417, -1797.27, 0, 0, 0.00120473, 0.0001817, 6.43911e-06, 1.1229e-05, -2.07868e-05, 2.46513e-05, 0, 0, 1.01145e+06, 1.01145e+06, 7.59263e-10, 3.71949e-06
202, -25.4349, -13.0406, -49.0479, 47.4601, 0.12637, 0.0563119, -0.0251016, 0.109372, -1797.27, 0, 0, 0.00120473, 0.0001817, 7.08229e-06, 1.17645e-05, -2.04015e-05, 2.48803e-05, 0, 0, 1.01145e+06, 1.01145e+06, 8.18707e-10, 3.81418e-06
203, -25.4349, -13.0364, -49.2449, 47.6572, 0.128177, 0.0509974, -0.026308, 0.114201, -1797.27, 0, 0, 0.00120473, 0.0001817, 7.16635e-06, 1.05749e-05, -1.96141e-05, 2.35633e-05, 0, 0, 1.01145e+06, 1.01145e+06, 8.34975e-10, 3.86873e-06
204, -25.4349, -13.0321, -49.442, 47.8543, 0.126055, 0.0390476, -0.0248634, 0.116948, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.76424e-06, 9.44905e-06, -1.7867e-05, 2.10918e-05, 0, 0, 1.01145e+06, 1.01145e+06, 7.98766e-10, 3.80465e-06
205, -25.4349, -13.0278, -49.639, 48.0513, 0.122968, 0.024237, -0.0209235, 0.118088, -1797.27, 0, 0, 0.00120473, 0.0001817, 3.48155e-06, 9.35617e-06, -1.68008e-05, 1.97385e-05, 0, 0, 1.01145e+06, 1.01145e+06, 7.94527e-10, 3.71151e-06
206, -25.4349, -13.0235, -49.836, 48.2484, 0.119612, 0.00622809, -0.0163073, 0.11801, -1797.27, 0, 0, 0.00120473, 0.0001817, 5.39442e-07, 7.94291e-06, -1.57693e-05, 1.78626e-05, 0, 0, 1.01145e+06, 1.01145e+06, 7.39901e-10, 3.61021e-06
207, -25.4349, -13.0192, -50.0331, 48.4455, 0.120925, -0.0122778, -0.0108256, 0.119205, -1797.27, 0, 0, 0.00120473, 0.0001817, -2.70621e-06, 7.5286e-06, -1.66958e-05, 1.86444e-05, 0, 0, 1.01145e+06, 1.01145e+06, 7.33639e-10, 3.64984e-06
208, -25.4349, -13.0149, -50.2301, 48.6426, 0.124037, -0.0279182, -0.00544181, 0.119824, -1797.27, 0, 0, 0.00120473, 0.0001817, -5.36478e-06, 9.16901e-06, -1.86625e-05, 2.17186e-05, 0, 0, 1.01145e+06, 1.01145e+06, 7.9819e-10, 3.74375e-06
209, -25.4349, -13.0107, -50.4271, 48.8396, 0.125214, -0.0423674, -0.00263144, 0.117389, -1797.27, 0, 0, 0.00120473, 0.0001817, -6.74525e-06, 9.45629e-06, -2.0283e-05, 2.35788e-05, 0, 0, 1.01145e+06, 1.01145e+06, 8.04397e-10, 3.77928e-06
